Num Paths,value_BS,value_MC,se_MC
5000,76.18546560373397,78.55490793940828,1.6535606226498574
10000,76.18546560373397,76.97698827287579,1.1663947456929031
50000,76.18546560373397,76.59785334657174,0.5166947792775908
100000,76.18546560373397,76.54229305089723,0.3650310128261056
150000,76.18546560373397,76.41478312089758,0.297652012672325
200000,76.18546560373397,76.45384792215212,0.2578115010807573
400000,76.18546560373397,76.30493449762622,0.18227940376340343
600000,76.18546560373397,76.2944781979386,0.14869198321029065
800000,76.18546560373397,76.33843614429175,0.12884151705364852
1000000,76.18546560373397,76.21838118112466,0.11510110478012296
